glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000090-glyph-0001,obs-comp-cand-000090,obimd-glyph-link-001479,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e1wrdxp259,򴯚󰣕,U+B4BDA;U+F08D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000090-glyph-0002,obs-comp-cand-000090,obimd-glyph-link-001480,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e1wrdxp259,󰣖,U+F08D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
