glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002571-glyph-0001,obs-comp-cand-002571,obimd-glyph-link-039393,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dsv4lhwhn7,󾥗,U+FE957,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002571-glyph-0002,obs-comp-cand-002571,obimd-glyph-link-039394,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dsv4lhwhn7,󾥘,U+FE958,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002571-glyph-0003,obs-comp-cand-002571,obimd-glyph-link-039395,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dsv4lhwhn7,󾥙,U+FE959,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
