glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000949-glyph-0001,obs-comp-cand-000949,obimd-glyph-link-013627,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,𫰧󵔙,U+2BC27;U+F5519,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0002,obs-comp-cand-000949,obimd-glyph-link-013628,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔚,U+F551A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0003,obs-comp-cand-000949,obimd-glyph-link-013629,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔛,U+F551B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0004,obs-comp-cand-000949,obimd-glyph-link-013630,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔜,U+F551C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0005,obs-comp-cand-000949,obimd-glyph-link-013631,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔞,U+F551E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0006,obs-comp-cand-000949,obimd-glyph-link-013632,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔟,U+F551F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0007,obs-comp-cand-000949,obimd-glyph-link-013633,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔠,U+F5520,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0008,obs-comp-cand-000949,obimd-glyph-link-013634,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔡,U+F5521,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000949-glyph-0009,obs-comp-cand-000949,obimd-glyph-link-013635,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-up9b7hui1h,󵔢,U+F5522,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
