glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000466-glyph-0001,obs-comp-cand-000466,obimd-glyph-link-006948,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1kn5q2g92n,󺇟,U+FA1DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000466-glyph-0002,obs-comp-cand-000466,obimd-glyph-link-006949,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1kn5q2g92n,󺇠,U+FA1E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000466-glyph-0003,obs-comp-cand-000466,obimd-glyph-link-006950,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1kn5q2g92n,󺇡,U+FA1E1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000466-glyph-0004,obs-comp-cand-000466,obimd-glyph-link-006951,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1kn5q2g92n,󺇢,U+FA1E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000466-glyph-0005,obs-comp-cand-000466,obimd-glyph-link-006952,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1kn5q2g92n,󺇣,U+FA1E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
