glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002347-glyph-0001,obs-comp-cand-002347,obimd-glyph-link-036072,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜨,U+FD728,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002347-glyph-0002,obs-comp-cand-002347,obimd-glyph-link-036073,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜩,U+FD729,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002347-glyph-0003,obs-comp-cand-002347,obimd-glyph-link-036074,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜪,U+FD72A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002347-glyph-0004,obs-comp-cand-002347,obimd-glyph-link-036075,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜫,U+FD72B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002347-glyph-0005,obs-comp-cand-002347,obimd-glyph-link-036076,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜬,U+FD72C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002347-glyph-0006,obs-comp-cand-002347,obimd-glyph-link-036077,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ens49x42bu,󽜭,U+FD72D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
