catalog_reference_index_id,candidate_inscription_crosswalk_id,project_id,reference_type,reference_value,reference_status,required_review
obs-insc-cw-cand-000554-catalog-ref-01,cam-hopkins-crosswalk-000554,obs-insc-cw-cand-000554,yingguo,y2562,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000554-catalog-ref-02,cam-hopkins-crosswalk-000554,obs-insc-cw-cand-000554,cambridge_university_library,363,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000554-catalog-ref-03,cam-hopkins-crosswalk-000554,obs-insc-cw-cand-000554,chalfant,544,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000554-catalog-ref-04,cam-hopkins-crosswalk-000554,obs-insc-cw-cand-000554,heji,41768,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
