catalog_reference_index_id,candidate_inscription_crosswalk_id,project_id,reference_type,reference_value,reference_status,required_review
obs-insc-cw-cand-000553-catalog-ref-01,cam-hopkins-crosswalk-000553,obs-insc-cw-cand-000553,yingguo,y2561,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000553-catalog-ref-02,cam-hopkins-crosswalk-000553,obs-insc-cw-cand-000553,cambridge_university_library,347,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000553-catalog-ref-03,cam-hopkins-crosswalk-000553,obs-insc-cw-cand-000553,chalfant,721,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
obs-insc-cw-cand-000553-catalog-ref-04,cam-hopkins-crosswalk-000553,obs-insc-cw-cand-000553,heji,41759,present_in_cambridge_hopkins_metadata,verify_against_primary_catalog_object_record_and_source_image
