glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000824-glyph-0001,obs-comp-cand-000824,obimd-glyph-link-011849,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-t1sxdsvi3f,󴩝,U+F4A5D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000824-glyph-0002,obs-comp-cand-000824,obimd-glyph-link-011850,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-t1sxdsvi3f,󴩞,U+F4A5E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000824-glyph-0003,obs-comp-cand-000824,obimd-glyph-link-011851,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-t1sxdsvi3f,󴩟,U+F4A5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000824-glyph-0004,obs-comp-cand-000824,obimd-glyph-link-011852,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-t1sxdsvi3f,󴩠,U+F4A60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000824-glyph-0005,obs-comp-cand-000824,obimd-glyph-link-011853,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-t1sxdsvi3f,󴩡,U+F4A61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
